date,kind,peak_hour_local,fired,trigger_local,trigger_temp,observed_ext_at_trigger,observed_ext_time_local,settled_ext,settled_local,trigger_utc,settled_utc
2026-01-29,low,7,True,08:53,55.0,51.0,05:53,51.0,05:53,2026-01-29T13:53:00+00:00,2026-01-29T10:53:00+00:00
2026-01-30,low,7,True,08:53,65.0,61.0,05:53,61.0,05:53,2026-01-30T13:53:00+00:00,2026-01-30T10:53:00+00:00
2026-01-31,low,7,True,08:53,64.0,56.0,04:53,46.0,23:53,2026-01-31T13:53:00+00:00,2026-02-01T04:53:00+00:00
2026-02-01,low,7,True,08:53,38.0,35.0,06:53,35.0,06:53,2026-02-01T13:53:00+00:00,2026-02-01T11:53:00+00:00
2026-02-02,low,7,True,08:53,44.0,39.0,03:53,39.0,03:53,2026-02-02T13:53:00+00:00,2026-02-02T08:53:00+00:00
2026-02-03,low,7,True,08:53,51.0,44.0,02:53,44.0,02:53,2026-02-03T13:53:00+00:00,2026-02-03T07:53:00+00:00
2026-02-04,low,7,True,08:53,63.0,55.0,01:53,55.0,01:53,2026-02-04T13:53:00+00:00,2026-02-04T06:53:00+00:00
2026-02-05,low,7,True,08:53,68.0,59.0,06:53,49.0,23:53,2026-02-05T13:53:00+00:00,2026-02-06T04:53:00+00:00
2026-02-06,low,7,True,08:53,50.0,45.0,05:53,45.0,05:53,2026-02-06T13:53:00+00:00,2026-02-06T10:53:00+00:00
2026-02-07,low,7,True,08:53,61.0,51.0,01:53,51.0,01:53,2026-02-07T13:53:00+00:00,2026-02-07T06:53:00+00:00
2026-02-08,low,7,True,08:53,62.0,54.0,05:53,54.0,05:53,2026-02-08T13:53:00+00:00,2026-02-08T10:53:00+00:00
2026-02-09,low,7,True,08:53,67.0,57.0,04:53,57.0,04:53,2026-02-09T13:53:00+00:00,2026-02-09T09:53:00+00:00
2026-02-10,low,7,True,08:53,66.0,57.0,04:53,57.0,04:53,2026-02-10T13:53:00+00:00,2026-02-10T09:53:00+00:00
2026-02-11,low,7,True,08:53,70.0,59.0,05:53,59.0,05:53,2026-02-11T13:53:00+00:00,2026-02-11T10:53:00+00:00
2026-02-12,low,7,True,08:53,67.0,59.0,06:53,59.0,06:53,2026-02-12T13:53:00+00:00,2026-02-12T11:53:00+00:00
2026-02-13,low,7,True,08:51,62.6,61.0,06:37,61.0,06:37,2026-02-13T13:51:00+00:00,2026-02-13T11:37:00+00:00
2026-02-14,low,7,True,08:53,71.0,63.0,05:53,63.0,05:53,2026-02-14T13:53:00+00:00,2026-02-14T10:53:00+00:00
