date,kind,peak_hour_local,fired,trigger_local,trigger_temp,observed_ext_at_trigger,observed_ext_time_local,settled_ext,settled_local,trigger_utc,settled_utc
2026-01-29,low,11,True,21:53,30.0,28.0,20:53,22.0,22:53,2026-01-30T04:53:00+00:00,2026-01-30T05:53:00+00:00
2026-01-30,low,11,True,22:53,25.0,22.0,20:53,19.4,23:51,2026-01-31T05:53:00+00:00,2026-01-31T06:51:00+00:00
2026-01-31,low,11,True,12:53,54.0,18.0,07:33,18.0,07:33,2026-01-31T19:53:00+00:00,2026-01-31T14:33:00+00:00
2026-02-01,low,11,True,12:53,60.0,21.0,02:53,21.0,02:53,2026-02-01T19:53:00+00:00,2026-02-01T09:53:00+00:00
2026-02-02,low,11,True,12:53,49.0,41.0,02:53,24.0,23:53,2026-02-02T19:53:00+00:00,2026-02-03T06:53:00+00:00
2026-02-03,low,11,False,,,23.0,00:53,23.0,00:53,,2026-02-03T07:53:00+00:00
2026-02-04,low,11,True,12:53,46.0,25.0,06:53,25.0,06:53,2026-02-04T19:53:00+00:00,2026-02-04T13:53:00+00:00
2026-02-05,low,11,False,,,33.0,03:53,33.0,03:53,,2026-02-05T10:53:00+00:00
2026-02-06,low,11,True,12:53,64.0,30.0,05:53,30.0,05:53,2026-02-06T19:53:00+00:00,2026-02-06T12:53:00+00:00
2026-02-07,low,11,False,,,36.0,04:53,36.0,04:53,,2026-02-07T11:53:00+00:00
2026-02-08,low,11,True,22:53,40.0,37.0,21:53,37.0,21:53,2026-02-09T05:53:00+00:00,2026-02-09T04:53:00+00:00
2026-02-09,low,11,True,12:53,70.0,41.0,07:53,40.0,22:53,2026-02-09T19:53:00+00:00,2026-02-10T05:53:00+00:00
2026-02-10,low,11,True,12:53,43.0,29.0,06:53,27.0,20:53,2026-02-10T19:53:00+00:00,2026-02-11T03:53:00+00:00
2026-02-11,low,11,False,,,25.0,01:53,25.0,01:53,,2026-02-11T08:53:00+00:00
2026-02-12,low,11,True,12:53,56.0,31.0,05:53,31.0,05:53,2026-02-12T19:53:00+00:00,2026-02-12T12:53:00+00:00
2026-02-13,low,11,True,12:53,55.0,31.0,04:53,31.0,04:53,2026-02-13T19:53:00+00:00,2026-02-13T11:53:00+00:00
2026-02-14,low,11,True,12:53,54.0,36.0,05:53,36.0,05:53,2026-02-14T19:53:00+00:00,2026-02-14T12:53:00+00:00
