station,date,kind,peak_hour_local,fired,trigger_local,trigger_temp,observed_ext_at_trigger,observed_ext_time_local,settled_ext,settled_local,delta_F,abs_delta,trigger_pick,actual_winner,bracket_match,trigger_pick_subtitle,actual_winner_subtitle,settled_bracket_subtitle,trigger_utc,settled_utc,pick_idx,winner_idx,bracket_distance
KNYC,2026-02-10,high,13,True,15:51,33.0,36.0,14:51,36.0,14:51,0.0,0.0,KXHIGHNY-26FEB10-B36.5,KXHIGHNY-26FEB10-B36.5,True,36° to 37°,36° to 37°,36° to 37°,2026-02-10T20:51:00+00:00,2026-02-10T19:51:00+00:00,3,3,0
KNYC,2026-02-11,high,13,True,15:51,39.0,41.0,10:51,41.0,10:51,0.0,0.0,KXHIGHNY-26FEB11-B40.5,KXHIGHNY-26FEB11-B40.5,True,40° to 41°,40° to 41°,40° to 41°,2026-02-11T20:51:00+00:00,2026-02-11T15:51:00+00:00,3,3,0
KNYC,2026-02-12,high,13,True,16:51,34.0,36.0,15:51,36.0,15:51,0.0,0.0,KXHIGHNY-26FEB12-B36.5,KXHIGHNY-26FEB12-B36.5,True,36° to 37°,36° to 37°,36° to 37°,2026-02-12T21:51:00+00:00,2026-02-12T20:51:00+00:00,3,3,0
KNYC,2026-02-13,high,13,True,18:51,36.0,38.0,15:51,38.0,15:51,0.0,0.0,no_kalshi_event,,,,,,2026-02-13T23:51:00+00:00,2026-02-13T20:51:00+00:00,,,
KNYC,2026-02-14,high,13,True,17:51,43.0,46.0,15:51,46.0,15:51,0.0,0.0,no_kalshi_event,,,,,,2026-02-14T22:51:00+00:00,2026-02-14T20:51:00+00:00,,,
KNYC,2026-01-15,low,9,False,,,24.0,23:51,24.0,23:51,,,,,,,,,,2026-01-16T04:51:00+00:00,,,
KNYC,2026-01-16,low,9,True,10:51,27.0,22.0,01:51,22.0,01:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-16T15:51:00+00:00,2026-01-16T06:51:00+00:00,,,
KNYC,2026-01-17,low,9,True,15:48,33.8,32.0,12:51,32.0,12:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-17T20:48:00+00:00,2026-01-17T17:51:00+00:00,,,
KNYC,2026-01-18,low,9,True,10:51,34.0,32.0,07:51,30.0,23:51,-2.0,2.0,no_kalshi_event,,,,,,2026-01-18T15:51:00+00:00,2026-01-19T04:51:00+00:00,,,
KNYC,2026-01-19,low,9,True,10:51,26.0,22.0,08:51,22.0,08:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-19T15:51:00+00:00,2026-01-19T13:51:00+00:00,,,
KNYC,2026-01-20,low,9,True,10:51,18.0,16.0,07:51,16.0,07:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-20T15:51:00+00:00,2026-01-20T12:51:00+00:00,,,
KNYC,2026-01-21,low,9,True,10:51,25.0,17.0,02:51,17.0,02:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-21T15:51:00+00:00,2026-01-21T07:51:00+00:00,,,
KNYC,2026-01-22,low,9,True,10:51,43.0,38.0,06:51,38.0,06:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-22T15:51:00+00:00,2026-01-22T11:51:00+00:00,,,
KNYC,2026-01-23,low,9,True,10:51,34.0,31.0,05:51,14.0,23:51,-17.0,17.0,no_kalshi_event,,,,,,2026-01-23T15:51:00+00:00,2026-01-24T04:51:00+00:00,,,
KNYC,2026-01-24,low,9,True,10:51,11.0,9.0,05:51,9.0,05:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-24T15:51:00+00:00,2026-01-24T10:51:00+00:00,,,
KNYC,2026-01-25,low,9,True,13:51,13.0,11.0,05:51,11.0,05:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-25T18:51:00+00:00,2026-01-25T10:51:00+00:00,,,
KNYC,2026-01-26,low,9,True,11:51,22.0,19.0,05:51,17.0,23:51,-2.0,2.0,no_kalshi_event,,,,,,2026-01-26T16:51:00+00:00,2026-01-27T04:51:00+00:00,,,
KNYC,2026-01-27,low,9,True,10:51,19.0,15.0,06:51,15.0,06:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-27T15:51:00+00:00,2026-01-27T11:51:00+00:00,,,
KNYC,2026-01-28,low,9,True,10:51,19.0,15.0,03:51,14.0,23:51,-1.0,1.0,no_kalshi_event,,,,,,2026-01-28T15:51:00+00:00,2026-01-29T04:51:00+00:00,,,
KNYC,2026-01-29,low,9,True,10:51,16.0,11.0,06:51,11.0,06:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-29T15:51:00+00:00,2026-01-29T11:51:00+00:00,,,
KNYC,2026-01-30,low,9,True,10:51,12.0,9.0,06:51,9.0,06:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-30T15:51:00+00:00,2026-01-30T11:51:00+00:00,,,
KNYC,2026-01-31,low,9,True,10:51,17.0,10.0,02:51,10.0,02:51,0.0,0.0,KXLOWTNYC-26JAN31-T7,KXLOWTNYC-26JAN31-T7,True,8° or above,8° or above,8° or above,2026-01-31T15:51:00+00:00,2026-01-31T07:51:00+00:00,5,5,0
KNYC,2026-02-01,low,9,True,10:51,14.0,10.0,06:51,10.0,06:51,0.0,0.0,KXLOWTNYC-26FEB01-B9.5,KXLOWTNYC-26FEB01-B9.5,True,9° to 10°,9° to 10°,9° to 10°,2026-02-01T15:51:00+00:00,2026-02-01T11:51:00+00:00,3,3,0
KNYC,2026-02-02,low,9,True,10:51,26.0,15.0,00:51,15.0,00:51,0.0,0.0,KXLOWTNYC-26FEB02-T14,KXLOWTNYC-26FEB02-B13.5,False,15° or above,13° to 14°,15° or above,2026-02-02T15:51:00+00:00,2026-02-02T05:51:00+00:00,5,4,1
KNYC,2026-02-03,low,9,True,10:51,27.0,23.0,05:51,23.0,05:51,0.0,0.0,KXLOWTNYC-26FEB03-T16,KXLOWTNYC-26FEB03-T16,True,17° or above,17° or above,17° or above,2026-02-03T15:51:00+00:00,2026-02-03T10:51:00+00:00,5,5,0
KNYC,2026-02-04,low,9,True,13:51,31.0,29.0,08:51,26.0,23:51,-3.0,3.0,KXLOWTNYC-26FEB04-T23,KXLOWTNYC-26FEB04-T23,True,24° or above,24° or above,24° or above,2026-02-04T18:51:00+00:00,2026-02-05T04:51:00+00:00,5,5,0
KNYC,2026-02-05,low,9,True,10:51,25.0,20.0,06:51,20.0,06:51,0.0,0.0,KXLOWTNYC-26FEB05-T19,KXLOWTNYC-26FEB05-T19,True,20° or above,20° or above,20° or above,2026-02-05T15:51:00+00:00,2026-02-05T11:51:00+00:00,5,5,0
KNYC,2026-02-06,low,9,True,10:51,29.0,23.0,05:51,23.0,05:51,0.0,0.0,KXLOWTNYC-26FEB06-T18,KXLOWTNYC-26FEB06-T18,True,19° or above,19° or above,19° or above,2026-02-06T15:51:00+00:00,2026-02-06T10:51:00+00:00,5,5,0
KNYC,2026-02-07,low,9,False,,,6.0,22:51,6.0,22:51,,,,,,,,,,2026-02-08T03:51:00+00:00,,,
KNYC,2026-02-08,low,9,True,10:51,8.0,3.0,05:51,3.0,05:51,0.0,0.0,KXLOWTNYC-26FEB08-B2.5,KXLOWTNYC-26FEB08-B2.5,True,2° to 3°,2° to 3°,2° to 3°,2026-02-08T15:51:00+00:00,2026-02-08T10:51:00+00:00,2,2,0
KNYC,2026-02-09,low,9,True,10:51,19.0,10.0,01:51,10.0,01:51,0.0,0.0,KXLOWTNYC-26FEB09-B10.5,KXLOWTNYC-26FEB09-B10.5,True,10° to 11°,10° to 11°,10° to 11°,2026-02-09T15:51:00+00:00,2026-02-09T06:51:00+00:00,3,3,0
KNYC,2026-02-10,low,9,True,10:51,31.0,24.0,04:51,24.0,04:51,0.0,0.0,KXLOWTNYC-26FEB10-T21,KXLOWTNYC-26FEB10-T21,True,22° or above,22° or above,22° or above,2026-02-10T15:51:00+00:00,2026-02-10T09:51:00+00:00,5,5,0
KNYC,2026-02-11,low,9,True,10:51,41.0,33.0,00:51,33.0,00:51,0.0,0.0,KXLOWTNYC-26FEB11-B32.5,KXLOWTNYC-26FEB11-B32.5,True,32° to 33°,32° to 33°,32° to 33°,2026-02-11T15:51:00+00:00,2026-02-11T05:51:00+00:00,4,4,0
KNYC,2026-02-12,low,9,True,10:51,33.0,31.0,05:51,27.0,23:51,-4.0,4.0,KXLOWTNYC-26FEB12-T28,KXLOWTNYC-26FEB12-B27.5,False,29° or above,27° to 28°,27° to 28°,2026-02-12T15:51:00+00:00,2026-02-13T04:51:00+00:00,5,4,1
KNYC,2026-02-13,low,9,True,10:51,30.0,22.0,06:51,22.0,06:51,0.0,0.0,no_kalshi_event,,,,,,2026-02-13T15:51:00+00:00,2026-02-13T11:51:00+00:00,,,
KNYC,2026-02-14,low,9,True,10:51,37.0,30.0,04:51,30.0,04:51,0.0,0.0,no_kalshi_event,,,,,,2026-02-14T15:51:00+00:00,2026-02-14T09:51:00+00:00,,,
KORD,2026-01-14,high,13,True,21:51,18.0,20.0,18:51,20.0,18:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-15T03:51:00+00:00,2026-01-15T00:51:00+00:00,,,
KORD,2026-01-15,high,13,True,17:51,22.0,24.0,15:51,24.0,15:51,0.0,0.0,no_kalshi_event,,,,,,2026-01-15T23:51:00+00:00,2026-01-15T21:51:00+00:00,,,
