date,kind,peak_hour_local,fired,trigger_local,trigger_temp,observed_ext_at_trigger,observed_ext_time_local,settled_ext,settled_local,trigger_utc,settled_utc
2026-01-29,low,9,True,10:51,16.0,11.0,06:51,11.0,06:51,2026-01-29T15:51:00+00:00,2026-01-29T11:51:00+00:00
2026-01-30,low,9,True,10:51,12.0,9.0,06:51,9.0,06:51,2026-01-30T15:51:00+00:00,2026-01-30T11:51:00+00:00
2026-01-31,low,9,True,10:51,17.0,10.0,02:51,10.0,02:51,2026-01-31T15:51:00+00:00,2026-01-31T07:51:00+00:00
2026-02-01,low,9,True,10:51,14.0,10.0,06:51,10.0,06:51,2026-02-01T15:51:00+00:00,2026-02-01T11:51:00+00:00
2026-02-02,low,9,True,10:51,26.0,15.0,00:51,15.0,00:51,2026-02-02T15:51:00+00:00,2026-02-02T05:51:00+00:00
2026-02-03,low,9,True,10:51,27.0,23.0,05:51,23.0,05:51,2026-02-03T15:51:00+00:00,2026-02-03T10:51:00+00:00
2026-02-04,low,9,True,13:51,31.0,29.0,08:51,26.0,23:51,2026-02-04T18:51:00+00:00,2026-02-05T04:51:00+00:00
2026-02-05,low,9,True,10:51,25.0,20.0,06:51,20.0,06:51,2026-02-05T15:51:00+00:00,2026-02-05T11:51:00+00:00
2026-02-06,low,9,True,10:51,29.0,23.0,05:51,23.0,05:51,2026-02-06T15:51:00+00:00,2026-02-06T10:51:00+00:00
2026-02-07,low,9,False,,,6.0,22:51,6.0,22:51,,2026-02-08T03:51:00+00:00
2026-02-08,low,9,True,10:51,8.0,3.0,05:51,3.0,05:51,2026-02-08T15:51:00+00:00,2026-02-08T10:51:00+00:00
2026-02-09,low,9,True,10:51,19.0,10.0,01:51,10.0,01:51,2026-02-09T15:51:00+00:00,2026-02-09T06:51:00+00:00
2026-02-10,low,9,True,10:51,31.0,24.0,04:51,24.0,04:51,2026-02-10T15:51:00+00:00,2026-02-10T09:51:00+00:00
2026-02-11,low,9,True,10:51,41.0,33.0,00:51,33.0,00:51,2026-02-11T15:51:00+00:00,2026-02-11T05:51:00+00:00
2026-02-12,low,9,True,10:51,33.0,31.0,05:51,27.0,23:51,2026-02-12T15:51:00+00:00,2026-02-13T04:51:00+00:00
2026-02-13,low,9,True,10:51,30.0,22.0,06:51,22.0,06:51,2026-02-13T15:51:00+00:00,2026-02-13T11:51:00+00:00
2026-02-14,low,9,True,10:51,37.0,30.0,04:51,30.0,04:51,2026-02-14T15:51:00+00:00,2026-02-14T09:51:00+00:00
