wall_clock_utc,wall_clock_et,regular_market_time_utc,lag_seconds,regular_market_price,fetch_ok
2026-05-08T02:56:46+00:00,2026-05-07 22:56:46 EDT,2026-05-08T02:46:35+00:00,611.5,96.1100,True
2026-05-08T02:57:46+00:00,2026-05-07 22:57:46 EDT,2026-05-08T02:47:42+00:00,604.9,96.1100,True
2026-05-08T02:58:32+00:00,2026-05-07 22:58:32 EDT,2026-05-08T02:48:21+00:00,611.5,96.0300,True
2026-05-08T02:58:37+00:00,2026-05-07 22:58:37 EDT,2026-05-08T02:48:32+00:00,605.9,96.0300,True
2026-05-08T02:58:43+00:00,2026-05-07 22:58:43 EDT,2026-05-08T02:48:38+00:00,605.2,96.0300,True
2026-05-08T02:58:48+00:00,2026-05-07 22:58:48 EDT,2026-05-08T02:48:46+00:00,602.7,96.0000,True
2026-05-08T02:58:54+00:00,2026-05-07 22:58:54 EDT,2026-05-08T02:48:38+00:00,616.1,96.0300,True
2026-05-08T02:58:59+00:00,2026-05-07 22:58:59 EDT,2026-05-08T02:48:46+00:00,613.4,96.0000,True
2026-05-08T02:59:04+00:00,2026-05-07 22:59:04 EDT,2026-05-08T02:49:03+00:00,601.7,95.9500,True
2026-05-08T02:59:10+00:00,2026-05-07 22:59:10 EDT,2026-05-08T02:49:07+00:00,603.1,95.9400,True
2026-05-08T02:59:15+00:00,2026-05-07 22:59:15 EDT,2026-05-08T02:49:07+00:00,608.4,95.9400,True
2026-05-08T02:59:20+00:00,2026-05-07 22:59:20 EDT,2026-05-08T02:49:19+00:00,601.7,95.8100,True
2026-05-08T02:59:26+00:00,2026-05-07 22:59:26 EDT,2026-05-08T02:49:20+00:00,606.0,95.8400,True
2026-05-08T02:59:31+00:00,2026-05-07 22:59:31 EDT,2026-05-08T02:49:21+00:00,610.3,95.8400,True
